ID,Publish Date,Title,Author ID,Comment Count,Primary Tickers,Secondary Tickers,Image URL
4164734,2024-10-16T09:12:26-04:00,Airbnb expands options for property owners to find co-hosts,954720,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1426185747/image_1426185747.jpg
4151206,2024-09-19T10:51:52-04:00,Travel and leisure stocks are outperforming after the Fed rate cut,954720,9,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/165999267/image_165999267.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4146755,2024-09-04T09:21:58-04:00,Airbnb dealt downgrade to Hold on slowing room nights growth,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1439680709/image_1439680709.jpg
4146306,2024-09-03T12:40:30-04:00,Airbnb urges NYC officials to overturn laws restricting short-term rentals,59695326,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/599473197/image_599473197.jpg
4141254,2024-08-17T11:56:07-04:00,"Robotaxi disruption: Tesla, Waymo, China, suppliers, and a potential flaw in the Death Star",954720,234,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1146418696/image_1146418696.jpg
4138394,2024-08-10T10:59:41-04:00,Trending stocks this week as turbulent week comes to an end,54434154,11,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/155278492/image_155278492.jpg
4136355,2024-08-07T14:13:24-04:00,Airbnb losses accelerate as market continues to digest soft outlook for travel,59695326,20,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1439680709/image_1439680709.jpg
4135948,2024-08-07T10:01:53-04:00,Citi spotlights 33 stocks in what it calls its ‘post pullback shopping list’,53367831,25,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1457838120/image_1457838120.jpg
4135693,2024-08-07T09:57:34-04:00,"Biggest stock movers today: SHOP, SMCI, LUMN, and more",32439325,21,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1688767071/image_1688767071.jpg
4135260,2024-08-06T16:37:18-04:00,Airbnb in charts: Gross booking value maintains double-digit growth but at a slowing Y/Y pace in Q2,59131291,0,tag,,
4135358,2024-08-06T16:32:08-04:00,Airbnb sets disappointing guidance as travelers pull back on future bookings,59695326,95,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586113550/image_586113550.jpg
4135308,2024-08-06T16:14:01-04:00,"Airbnb GAAP EPS of $0.86 misses by $0.05, revenue of $2.75B beats by $10M",1108356,21,tag,,
4133974,2024-08-05T10:17:47-04:00,"Airbnb Q2 earnings: Focus on European markets, bookings amid global events",59268336,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586113550/image_586113550.jpg
4164734,2024-10-16T09:12:26-04:00,Airbnb expands options for property owners to find co-hosts,954720,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1426185747/image_1426185747.jpg
4151206,2024-09-19T10:51:52-04:00,Travel and leisure stocks are outperforming after the Fed rate cut,954720,9,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/165999267/image_165999267.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4146755,2024-09-04T09:21:58-04:00,Airbnb dealt downgrade to Hold on slowing room nights growth,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1439680709/image_1439680709.jpg
4146306,2024-09-03T12:40:30-04:00,Airbnb urges NYC officials to overturn laws restricting short-term rentals,59695326,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/599473197/image_599473197.jpg
4141254,2024-08-17T11:56:07-04:00,"Robotaxi disruption: Tesla, Waymo, China, suppliers, and a potential flaw in the Death Star",954720,234,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1146418696/image_1146418696.jpg
4138394,2024-08-10T10:59:41-04:00,Trending stocks this week as turbulent week comes to an end,54434154,11,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/155278492/image_155278492.jpg
4136355,2024-08-07T14:13:24-04:00,Airbnb losses accelerate as market continues to digest soft outlook for travel,59695326,20,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1439680709/image_1439680709.jpg
4135948,2024-08-07T10:01:53-04:00,Citi spotlights 33 stocks in what it calls its ‘post pullback shopping list’,53367831,25,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1457838120/image_1457838120.jpg
4135693,2024-08-07T09:57:34-04:00,"Biggest stock movers today: SHOP, SMCI, LUMN, and more",32439325,21,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1688767071/image_1688767071.jpg
4135260,2024-08-06T16:37:18-04:00,Airbnb in charts: Gross booking value maintains double-digit growth but at a slowing Y/Y pace in Q2,59131291,0,tag,,
4135358,2024-08-06T16:32:08-04:00,Airbnb sets disappointing guidance as travelers pull back on future bookings,59695326,95,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586113550/image_586113550.jpg
4135308,2024-08-06T16:14:01-04:00,"Airbnb GAAP EPS of $0.86 misses by $0.05, revenue of $2.75B beats by $10M",1108356,21,tag,,
4133974,2024-08-05T10:17:47-04:00,"Airbnb Q2 earnings: Focus on European markets, bookings amid global events",59268336,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/586113550/image_586113550.jpg
4164734,2024-10-16T09:12:26-04:00,Airbnb expands options for property owners to find co-hosts,954720,2,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1426185747/image_1426185747.jpg
4151206,2024-09-19T10:51:52-04:00,Travel and leisure stocks are outperforming after the Fed rate cut,954720,9,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/165999267/image_165999267.jpg
4150410,2024-09-17T14:25:58-04:00,"State of the consumer: Airbnb, Wayfair, and Stitch Fix leads gains in the retail sector",954720,0,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/171578443/image_171578443.jpg
4147430,2024-09-05T14:48:45-04:00,"Meta Platforms, MercadoLibre, and DoorDash are top Internet picks at Cantor Fitzgerald",59695326,3,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1744124538/image_1744124538.jpg
4146755,2024-09-04T09:21:58-04:00,Airbnb dealt downgrade to Hold on slowing room nights growth,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1439680709/image_1439680709.jpg
4146306,2024-09-03T12:40:30-04:00,Airbnb urges NYC officials to overturn laws restricting short-term rentals,59695326,8,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/599473197/image_599473197.jpg
4141254,2024-08-17T11:56:07-04:00,"Robotaxi disruption: Tesla, Waymo, China, suppliers, and a potential flaw in the Death Star",954720,234,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1146418696/image_1146418696.jpg
