ID,Publish Date,Title,Author ID,Comment Count,Primary Tickers,Secondary Tickers,Image URL
4226120,2024-10-30T17:09:47-04:00,Carvana shares race higher on another record-setting quarter,59695326,91,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1172757310/image_1172757310.jpg
4225873,2024-10-30T16:28:41-04:00,Carvana reports Q3 results,1108356,24,tag,,
4220052,2024-10-29T17:35:27-04:00,Carvana Q3 2024 Earnings Preview,59062064,30,tag,,
4150364,2024-09-17T10:56:46-04:00,Carvana's leadership in online car sales ropes in another bull at BofA,59695326,42,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1396759837/image_1396759837.jpg
4150052,2024-09-16T13:51:52-04:00,Carvana positioned to beat Q3 expectations and set upbeat guidance - analyst,59695326,61,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1318526301/image_1318526301.jpg
4149127,2024-09-12T11:09:09-04:00,Auto dealerships enjoy diverse revenue streams and competitive moats -- analyst,59695326,16,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1473399467/image_1473399467.jpg
4141338,2024-08-19T06:44:06-04:00,Carvana unveils its first auction Megasite in Kansas City,954720,56,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1488701774/image_1488701774.jpg
4140136,2024-08-14T18:35:57-04:00,"3G Capital top Q2 moves include cutting Meta, new stakes in Uber, MercadoLibre, Carvana",56228617,6,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/954002374/image_954002374.jpg
4139992,2024-08-14T15:54:40-04:00,Carvana is on watch after S&P boosted its credit rating by a notch,954720,23,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1396759837/image_1396759837.jpg
4139508,2024-08-13T17:36:01-04:00,Car dealership shares driven higher by tame inflation data,59695326,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1396759839/image_1396759839.jpg
4132453,2024-08-01T13:32:21-04:00,"Carvana's Q2 results receive sell-side praise, cite management's ability to 'right the ship'",59695326,17,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1318526301/image_1318526301.jpg
4131900,2024-08-01T09:48:13-04:00,"Biggest stock movers today: META, MRNA, TDOC, and more",32439325,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/913219882/image_913219882.jpg
4220052,2024-10-29T17:35:27-04:00,Carvana Q3 2024 Earnings Preview,59062064,30,tag,,
4150364,2024-09-17T10:56:46-04:00,Carvana's leadership in online car sales ropes in another bull at BofA,59695326,42,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1396759837/image_1396759837.jpg
4150052,2024-09-16T13:51:52-04:00,Carvana positioned to beat Q3 expectations and set upbeat guidance - analyst,59695326,61,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1318526301/image_1318526301.jpg
4149127,2024-09-12T11:09:09-04:00,Auto dealerships enjoy diverse revenue streams and competitive moats -- analyst,59695326,16,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1473399467/image_1473399467.jpg
4141338,2024-08-19T06:44:06-04:00,Carvana unveils its first auction Megasite in Kansas City,954720,56,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1488701774/image_1488701774.jpg
4140136,2024-08-14T18:35:57-04:00,"3G Capital top Q2 moves include cutting Meta, new stakes in Uber, MercadoLibre, Carvana",56228617,6,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/954002374/image_954002374.jpg
4139992,2024-08-14T15:54:40-04:00,Carvana is on watch after S&P boosted its credit rating by a notch,954720,23,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1396759837/image_1396759837.jpg
4139508,2024-08-13T17:36:01-04:00,Car dealership shares driven higher by tame inflation data,59695326,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1396759839/image_1396759839.jpg
4132453,2024-08-01T13:32:21-04:00,"Carvana's Q2 results receive sell-side praise, cite management's ability to 'right the ship'",59695326,17,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1318526301/image_1318526301.jpg
4131900,2024-08-01T09:48:13-04:00,"Biggest stock movers today: META, MRNA, TDOC, and more",32439325,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/913219882/image_913219882.jpg
4150364,2024-09-17T10:56:46-04:00,Carvana's leadership in online car sales ropes in another bull at BofA,59695326,42,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1396759837/image_1396759837.jpg
4150052,2024-09-16T13:51:52-04:00,Carvana positioned to beat Q3 expectations and set upbeat guidance - analyst,59695326,61,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1318526301/image_1318526301.jpg
4149127,2024-09-12T11:09:09-04:00,Auto dealerships enjoy diverse revenue streams and competitive moats -- analyst,59695326,16,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1473399467/image_1473399467.jpg
4141338,2024-08-19T06:44:06-04:00,Carvana unveils its first auction Megasite in Kansas City,954720,56,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1488701774/image_1488701774.jpg
