ID,Publish Date,Title,Author ID,Comment Count,Primary Tickers,Secondary Tickers,Image URL
4223759,2024-10-30T10:59:04-04:00,Garmin's strong Q3 results lead to another hike in guidance,59695326,6,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/165773692/image_165773692.jpg
4222468,2024-10-30T07:05:19-04:00,Garmin beats Q3 top and bottom line estimates,51785401,1,tag,,
4220019,2024-10-29T13:33:51-04:00,Garmin Q3 2024 Earnings Preview,54603272,0,tag,,
4188838,2024-10-22T07:05:34-04:00,Garmin acquires privately-held company Lumishore,59268336,1,tag,,
4156727,2024-10-07T08:29:44-04:00,Garmin stock dips as Morgan Stanley downgrades to underweight,59093036,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/454671466/image_454671466.jpg
4149498,2024-09-13T10:07:23-04:00,Overvalued Garmin facing margin headwinds - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483892584/image_1483892584.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149161,2024-09-12T12:20:44-04:00,Garmin goes ex-dividend tomorrow,59758342,0,tag,,
4220019,2024-10-29T13:33:51-04:00,Garmin Q3 2024 Earnings Preview,54603272,0,tag,,
4188838,2024-10-22T07:05:34-04:00,Garmin acquires privately-held company Lumishore,59268336,1,tag,,
4156727,2024-10-07T08:29:44-04:00,Garmin stock dips as Morgan Stanley downgrades to underweight,59093036,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/454671466/image_454671466.jpg
4149498,2024-09-13T10:07:23-04:00,Overvalued Garmin facing margin headwinds - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483892584/image_1483892584.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149161,2024-09-12T12:20:44-04:00,Garmin goes ex-dividend tomorrow,59758342,0,tag,,
4188838,2024-10-22T07:05:34-04:00,Garmin acquires privately-held company Lumishore,59268336,1,tag,,
4156727,2024-10-07T08:29:44-04:00,Garmin stock dips as Morgan Stanley downgrades to underweight,59093036,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/454671466/image_454671466.jpg
4149498,2024-09-13T10:07:23-04:00,Overvalued Garmin facing margin headwinds - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483892584/image_1483892584.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149161,2024-09-12T12:20:44-04:00,Garmin goes ex-dividend tomorrow,59758342,0,tag,,
4188838,2024-10-22T07:05:34-04:00,Garmin acquires privately-held company Lumishore,59268336,1,tag,,
4156727,2024-10-07T08:29:44-04:00,Garmin stock dips as Morgan Stanley downgrades to underweight,59093036,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/454671466/image_454671466.jpg
4149498,2024-09-13T10:07:23-04:00,Overvalued Garmin facing margin headwinds - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483892584/image_1483892584.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149161,2024-09-12T12:20:44-04:00,Garmin goes ex-dividend tomorrow,59758342,0,tag,,
4188838,2024-10-22T07:05:34-04:00,Garmin acquires privately-held company Lumishore,59268336,1,tag,,
4156727,2024-10-07T08:29:44-04:00,Garmin stock dips as Morgan Stanley downgrades to underweight,59093036,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/454671466/image_454671466.jpg
4149498,2024-09-13T10:07:23-04:00,Overvalued Garmin facing margin headwinds - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483892584/image_1483892584.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149161,2024-09-12T12:20:44-04:00,Garmin goes ex-dividend tomorrow,59758342,0,tag,,
4188838,2024-10-22T07:05:34-04:00,Garmin acquires privately-held company Lumishore,59268336,1,tag,,
4156727,2024-10-07T08:29:44-04:00,Garmin stock dips as Morgan Stanley downgrades to underweight,59093036,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/454671466/image_454671466.jpg
4149498,2024-09-13T10:07:23-04:00,Overvalued Garmin facing margin headwinds - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483892584/image_1483892584.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149161,2024-09-12T12:20:44-04:00,Garmin goes ex-dividend tomorrow,59758342,0,tag,,
4188838,2024-10-22T07:05:34-04:00,Garmin acquires privately-held company Lumishore,59268336,1,tag,,
4156727,2024-10-07T08:29:44-04:00,Garmin stock dips as Morgan Stanley downgrades to underweight,59093036,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/454671466/image_454671466.jpg
4149498,2024-09-13T10:07:23-04:00,Overvalued Garmin facing margin headwinds - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483892584/image_1483892584.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149161,2024-09-12T12:20:44-04:00,Garmin goes ex-dividend tomorrow,59758342,0,tag,,
4188838,2024-10-22T07:05:34-04:00,Garmin acquires privately-held company Lumishore,59268336,1,tag,,
4156727,2024-10-07T08:29:44-04:00,Garmin stock dips as Morgan Stanley downgrades to underweight,59093036,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/454671466/image_454671466.jpg
4149498,2024-09-13T10:07:23-04:00,Overvalued Garmin facing margin headwinds - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483892584/image_1483892584.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149161,2024-09-12T12:20:44-04:00,Garmin goes ex-dividend tomorrow,59758342,0,tag,,
4188838,2024-10-22T07:05:34-04:00,Garmin acquires privately-held company Lumishore,59268336,1,tag,,
4156727,2024-10-07T08:29:44-04:00,Garmin stock dips as Morgan Stanley downgrades to underweight,59093036,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/454671466/image_454671466.jpg
4149498,2024-09-13T10:07:23-04:00,Overvalued Garmin facing margin headwinds - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483892584/image_1483892584.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149161,2024-09-12T12:20:44-04:00,Garmin goes ex-dividend tomorrow,59758342,0,tag,,
4156727,2024-10-07T08:29:44-04:00,Garmin stock dips as Morgan Stanley downgrades to underweight,59093036,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/454671466/image_454671466.jpg
4149498,2024-09-13T10:07:23-04:00,Overvalued Garmin facing margin headwinds - analyst,59695326,5,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1483892584/image_1483892584.jpg
4149422,2024-09-13T08:40:12-04:00,"Dividend Roundup: Oracle, Colgate-Palmolive, AIG, Broadcom, and more",53367831,1,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1072593728/image_1072593728.jpg
4149161,2024-09-12T12:20:44-04:00,Garmin goes ex-dividend tomorrow,59758342,0,tag,,
4156727,2024-10-07T08:29:44-04:00,Garmin stock dips as Morgan Stanley downgrades to underweight,59093036,4,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/454671466/image_454671466.jpg
