ID,Publish Date,Title,Author ID,Comment Count,Primary Tickers,Secondary Tickers,Image URL
4197389,2024-10-23T16:47:36-04:00,Mattel Q3 results top expectations but expects slower sales in FY24,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/459019345/image_459019345.jpg
4197166,2024-10-23T16:13:20-04:00,"Mattel Non-GAAP EPS of $1.14 beats by $0.19, revenue of $1.84B misses by $20M",49282475,0,tag,,
4190758,2024-10-22T17:35:55-04:00,Mattel Q3 2024 Earnings Preview,54931997,0,tag,,
4157279,2024-10-09T09:26:56-04:00,Mattel and F1 partner in a match made in racing heaven,954720,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/931966606/image_931966606.jpg
4156254,2024-10-03T16:29:25-04:00,"East Coast port strike could be over by Monday, analyst says",59695326,15,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4155043,2024-10-01T11:05:07-04:00,Watch these stocks as union pushes pick up,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/174626837/image_174626837.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4144520,2024-08-28T07:43:58-04:00,Mattel's Barbie gets her own phone from HMD Global,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/84589806/image_84589806.jpg
4197389,2024-10-23T16:47:36-04:00,Mattel Q3 results top expectations but expects slower sales in FY24,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/459019345/image_459019345.jpg
4197166,2024-10-23T16:13:20-04:00,"Mattel Non-GAAP EPS of $1.14 beats by $0.19, revenue of $1.84B misses by $20M",49282475,0,tag,,
4190758,2024-10-22T17:35:55-04:00,Mattel Q3 2024 Earnings Preview,54931997,0,tag,,
4157279,2024-10-09T09:26:56-04:00,Mattel and F1 partner in a match made in racing heaven,954720,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/931966606/image_931966606.jpg
4156254,2024-10-03T16:29:25-04:00,"East Coast port strike could be over by Monday, analyst says",59695326,15,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4155043,2024-10-01T11:05:07-04:00,Watch these stocks as union pushes pick up,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/174626837/image_174626837.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4144520,2024-08-28T07:43:58-04:00,Mattel's Barbie gets her own phone from HMD Global,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/84589806/image_84589806.jpg
4197389,2024-10-23T16:47:36-04:00,Mattel Q3 results top expectations but expects slower sales in FY24,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/459019345/image_459019345.jpg
4197166,2024-10-23T16:13:20-04:00,"Mattel Non-GAAP EPS of $1.14 beats by $0.19, revenue of $1.84B misses by $20M",49282475,0,tag,,
4190758,2024-10-22T17:35:55-04:00,Mattel Q3 2024 Earnings Preview,54931997,0,tag,,
4157279,2024-10-09T09:26:56-04:00,Mattel and F1 partner in a match made in racing heaven,954720,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/931966606/image_931966606.jpg
4156254,2024-10-03T16:29:25-04:00,"East Coast port strike could be over by Monday, analyst says",59695326,15,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4155043,2024-10-01T11:05:07-04:00,Watch these stocks as union pushes pick up,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/174626837/image_174626837.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4144520,2024-08-28T07:43:58-04:00,Mattel's Barbie gets her own phone from HMD Global,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/84589806/image_84589806.jpg
4197389,2024-10-23T16:47:36-04:00,Mattel Q3 results top expectations but expects slower sales in FY24,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/459019345/image_459019345.jpg
4197166,2024-10-23T16:13:20-04:00,"Mattel Non-GAAP EPS of $1.14 beats by $0.19, revenue of $1.84B misses by $20M",49282475,0,tag,,
4190758,2024-10-22T17:35:55-04:00,Mattel Q3 2024 Earnings Preview,54931997,0,tag,,
4157279,2024-10-09T09:26:56-04:00,Mattel and F1 partner in a match made in racing heaven,954720,1,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/931966606/image_931966606.jpg
4156254,2024-10-03T16:29:25-04:00,"East Coast port strike could be over by Monday, analyst says",59695326,15,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4155043,2024-10-01T11:05:07-04:00,Watch these stocks as union pushes pick up,954720,36,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/174626837/image_174626837.jpg
4154345,2024-09-29T10:39:19-04:00,Stocks to watch as port strike looms,954720,48,,tag,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1363364624/image_1363364624.jpg
4144520,2024-08-28T07:43:58-04:00,Mattel's Barbie gets her own phone from HMD Global,954720,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/84589806/image_84589806.jpg
4197389,2024-10-23T16:47:36-04:00,Mattel Q3 results top expectations but expects slower sales in FY24,59695326,0,tag,,https://static.seekingalpha.com/cdn/s3/uploads/getty_images/459019345/image_459019345.jpg
